=== Baseline (cloud-only) ===
[EDGE3] 15/50 /video43.mp4 -> 0.0114s
[EDGE3] 16/50 /video100.mp4 -> 0.0156s
[EDGE3] 17/50 /sensor74.json -> 0.0065s
[EDGE3] 18/50 /video95.mp4 -> 0.0129s
[EDGE3] 19/50 /sensor4.json -> 0.0062s
[EDGE3] 20/50 /video39.mp4 -> 0.0038s
[EDGE3] 21/50 /sensor28.json -> 0.0063s
[EDGE3] 22/50 /sensor7.json -> 0.0011s
[EDGE3] 23/50 /sensor31.json -> 0.0007s
[EDGE3] 24/50 /video45.mp4 -> 0.0134s
[EDGE3] 25/50 /sensor8.json -> 0.0009s
[EDGE3] 26/50 /video48.mp4 -> 0.0070s
[EDGE3] 27/50 /video73.mp4 -> 0.0122s
[EDGE3] 28/50 /video25.mp4 -> 0.0033s
[EDGE3] 29/50 /video46.mp4 -> 0.0034s
[EDGE3] 30/50 /sensor72.json -> 0.0062s
[EDGE3] 31/50 /sensor78.json -> 0.0063s
[EDGE3] 32/50 /sensor81.json -> 0.0061s
[EDGE3] 33/50 /sensor50.json -> 0.0064s
[EDGE3] 34/50 /sensor99.json -> 0.0006s
[EDGE3] 35/50 /sensor36.json -> 0.0007s
[EDGE3] 36/50 /video24.mp4 -> 0.0054s
[EDGE3] 37/50 /video62.mp4 -> 0.0135s
[EDGE3] 38/50 /sensor68.json -> 0.0063s
[EDGE3] 39/50 /sensor7.json -> 0.0013s
[EDGE3] 40/50 /sensor50.json -> 0.0007s
[EDGE3] 41/50 /video15.mp4 -> 0.0029s
[EDGE3] 42/50 /sensor51.json -> 0.0064s
[EDGE3] 43/50 /sensor41.json -> 0.0062s
[EDGE3] 44/50 /video54.mp4 -> 0.0034s
[EDGE3] 45/50 /sensor28.json -> 0.0006s
[EDGE3] 46/50 /sensor43.json -> 0.0006s
[EDGE3] 47/50 /video35.mp4 -> 0.0092s
[EDGE3] 48/50 /sensor65.json -> 0.0010s
[EDGE3] 49/50 /sensor61.json -> 0.0007s
[EDGE3] 50/50 /video68.mp4 -> 0.0143s

[EDGE3] avg=0.0059s, p95=0.0149s
